,name,gender_add,year,category,publication
92,Lucy Morgan,female,1985,Investigative-Reporting,St. Petersburg (FL) Times
93,Lynn Heinzerling,female,1961,International-Reporting,Associated Press
94,Madeleine Blais,female,1980,Feature-Writing,The Miami Herald
95,Manuela Hoelterhoff,female,1983,Criticism,The Wall Street Journal
96,Margo Huston,female,1977,Local-General-or-Spot-News-Reporting,The Milwaukee Journal
97,Margo Jefferson,female,1995,Criticism,The New York Times
98,Marguerite Higgins,female,1951,International-Reporting,New York Herald Tribune
99,Maria Henson,female,1992,Editorial-Writing,Lexington (KY) Herald-Leader
100,Martha Mendoza,female,2000,Investigative-Reporting,Associated Press
101,Martha Rial,female,1998,Spot-News-Photography,Pittsburgh Post-Gazette
102,Mary Ann Gwinn,female,1990,National-Reporting,The Seattle Times
103,Mary Chind,female,2010,Breaking-News-Photography,Des Moines Register
104,Mary Jordan,female,2003,International-Reporting,The Washington Post
105,Mary Lou Werner,female,1959,Local-Reporting;-Edition-Time,The Evening Star
106,Mary McGrory,female,1975,Commentary,The Washington Star
107,Mary McNamara,female,2015,Criticism,Los Angeles Times
108,Mary Pat Flaherty,female,1986,Specialized-Reporting,The Pittsburgh Press
109,Mary Schmich,female,2012,Commentary,Chicago Tribune
110,Maureen Dowd,female,1999,Commentary,The New York Times
111,Meg Greenfield,female,1978,Editorial-Writing,The Washington Post
112,Melanie Sill,female,1996,Public-Service,The News & Observer
113,Michiko Kakutani,female,1998,Criticism,The New York Times
114,Minna Lewinson,female,1918,Newspaper-History-Award,American Press
115,Miriam Ottenberg,female,1960,Local-Reporting;-No-Edition-Time,The Evening Star
116,Nan Robertson,female,1983,Feature-Writing,The New York Times
117,Natalie Angier,female,1991,Beat-Reporting,The New York Times
118,Nikki Kahn,female,2011,Breaking-News-Photography,The Washington Post
119,Raquel Rutledge,female,2010,Local-Reporting,Milwaukee Journal Sentinel
120,Rebecca Kimitch,female,2015,Local-Reporting,Daily Breeze
121,Rochelle Sharpe,female,1991,National-Reporting,Gannett News Service
122,Sara Ganim,female,2012,Local-Reporting,The Patriot-News
123,Sarah Cohen,female,2002,Investigative-Reporting,The Washington Post
124,Sarah Kaufman,female,2010,Criticism,The Washington Post
125,Sari Horwitz,female,2002,Investigative-Reporting,The Washington Post
126,Sheri Fink,female,2010,Investigative-Reporting,"ProPublica, in collaboration with The New York Times Magazine"
127,Sheryl James,female,1991,Feature-Writing,St. Petersburg (FL) Times
128,Sheryl Wu Dunn,female,1990,International-Reporting,The New York Times
129,Shirley Christian,female,1980,International-Reporting,The Miami Herald
130,Signe Wilkinson,female,1992,Editorial-Cartooning,The Philadelphia Daily News
131,Sonia Nazario,female,2003,Feature-Writing,Los Angeles Times
132,Stephanie Saul,female,1995,Investigative-Reporting,Newsday
133,Stephanie Welsh,female,1996,Feature-Photography,freelance photographer
134,Susan C. Faludi,female,1991,Explanatory-Journalism,The Wall Street Journal
135,Susan M. Headden,female,1991,Investigative-Reporting,The Indianapolis Star
136,Susan Schmidt,female,2006,Investigative-Reporting,The Washington Post
137,Tamar Stieber,female,1990,Specialized-Reporting,Albuquerque Journal
138,Teresa Carpenter,female,1981,Feature-Writing,The Village Voice
139,Usha Lee McFarling,female,2007,Explanatory-Reporting,Los Angeles Times
140,Wendy Ruderman,female,2010,Investigative-Reporting,The Philadelphia Daily News
