name,gender,gender_add,year,category,publication,publication2,organizational,first_name,mutiple org,note
Karen Elliott House,female,female,1984,International-Reporting,The Wall Street Journal,,no,Karen,,
Katherine Boo,female,female,2000,Public-Service,The Washington Post,,no,Katherine,,
Katherine Ellison,female,female,1986,International-Reporting,San Jose (CA) Mercury News,,no,Katherine,,
Kathleen Gallagher,female,female,2011,Explanatory-Reporting,Milwaukee Journal Sentinel,,no,Kathleen,,
Kathleen Kingsbury,female,female,2015,Editorial-Writing,The Boston Globe,,no,Kathleen,,
Kathleen Parker,female,female,2010,Commentary,The Washington Post,,no,Kathleen,,
Kim Komenich,female,female,1987,Spot-News-Photography,San Francisco Examiner,,no,Kim,,
Kim Murphy,female,female,2005,International-Reporting,Los Angeles Times,,no,Kim,,
Lauren D. Lyman,female,female,1936,Reporting,The New York Times,,no,Lauren,,
Lauren K. Soth,female,female,1956,Editorial-Writing,Register and Tribune,,no,Lauren,,
Laurence Edmund Allen,female,female,1942,Telegraphic-Reporting-(International),Associated Press,,no,Laurence,,
Laurie Garrett,female,female,1996,Explanatory-Journalism,Newsday,,no,Laurie,,
Linda Greenhouse,female,female,1998,Beat-Reporting,The New York Times,,no,Linda,,
Lisa Falkenberg,female,female,2015,Commentary,Houston Chronicle,,no,Lisa,,
Lisa Pollak,female,female,1997,Feature-Writing,The Baltimore Sun,,no,Lisa,,
Lisa Song,female,female,2013,National-Reporting,InsideClimate News,,no,Lisa,,
Liz Balmaseda,female,female,1993,Commentary,The Miami Herald,,no,Liz,,
Lois Wille,female,female,1989,Editorial-Writing,Chicago Tribune,,no,Lois,,
Loretta Tofani,female,female,1983,Local-Investigative-Specialized-Reporting,The Washington Post,,no,Loretta,,
Lorraine Adams,female,female,1992,Investigative-Reporting,The Dallas Morning News,,no,Lorraine,,
Lucinda Franks,female,female,1971,National-Reporting,United Press Internationalcategory,,no,Lucinda,,
Lucy Morgan,female,female,1985,Investigative-Reporting,St. Petersburg (FL) Times,,no,Lucy,,
Lynn Heinzerling,female,female,1961,International-Reporting,Associated Press,,no,Lynn,,
Madeleine Blais,female,female,1980,Feature-Writing,The Miami Herald,,no,Madeleine,,
Manuela Hoelterhoff,female,female,1983,Criticism,The Wall Street Journal,,no,Manuela,,
Margo Huston,female,female,1977,Local-General-or-Spot-News-Reporting,The Milwaukee Journal,,no,Margo,,
Margo Jefferson,female,female,1995,Criticism,The New York Times,,no,Margo,,
Marguerite Higgins,female,female,1951,International-Reporting,New York Herald Tribune,,no,Marguerite,,note
Maria Henson,female,female,1992,Editorial-Writing,Lexington (KY) Herald-Leader,,no,Maria,,
Martha Mendoza,female,female,2000,Investigative-Reporting,Associated Press,,no,Martha,,
Martha Rial,female,female,1998,Spot-News-Photography,Pittsburgh Post-Gazette,,no,Martha,,
Mary Ann Gwinn,female,female,1990,National-Reporting,The Seattle Times,,no,Mary,,
Mary Chind,female,female,2010,Breaking-News-Photography,Des Moines Register,,no,Mary,,
Mary Jordan,female,female,2003,International-Reporting,The Washington Post,,no,Mary,,
Mary Lou Werner,female,female,1959,Local-Reporting;-Edition-Time,The Evening Star,,no,Mary,,
Mary McGrory,female,female,1975,Commentary,The Washington Star,,no,Mary,,
Mary McNamara,female,female,2015,Criticism,Los Angeles Times,,no,Mary,,
Mary Pat Flaherty,female,female,1986,Specialized-Reporting,The Pittsburgh Press,,no,Mary,,
Mary Schmich,female,female,2012,Commentary,Chicago Tribune,,no,Mary,,
Maureen Dowd,female,female,1999,Commentary,The New York Times,,no,Maureen,,
Meg Greenfield,female,female,1978,Editorial-Writing,The Washington Post,,no,Meg,,
Melanie Sill,female,female,1996,Public-Service,The News & Observer,,no,Melanie,,
Michiko Kakutani,female,female,1998,Criticism,The New York Times,,no,Michiko,,
Minna Lewinson,female,female,1918,Newspaper-History-Award,American Press,,no,Minna,,
Miriam Ottenberg,female,female,1960,Local-Reporting;-No-Edition-Time,The Evening Star,,no,Miriam,,
Nan Robertson,female,female,1983,Feature-Writing,The New York Times,,no,Nan,,
Natalie Angier,female,female,1991,Beat-Reporting,The New York Times,,no,Natalie,,
Nikki Kahn,female,female,2011,Breaking-News-Photography,The Washington Post,,no,Nikki,,
Raquel Rutledge,female,female,2010,Local-Reporting,Milwaukee Journal Sentinel,,no,Raquel,,
Rebecca Kimitch,female,female,2015,Local-Reporting,Daily Breeze,,no,Rebecca,,
