category,publication,publication2,name,year,organizational,first_name,gender,mutiple org,note
International-Reporting,The Village Voice,,Mark Schoofs,2000,no,Mark,male,,
Editorial-Cartooning,The Village Voice,,Jules Feiffer,1986,no,Jules,male,,
Editorial-Writing,The Tribune,,Jonathan Freedman,1987,no,Jonathan,male,,
Editorial-Writing,The Trentonian,,F. Gilman Spencer,1974,no,F.,andy,,
Spot-News-Photography,The Toronto Star,,Paul Watson,1994,no,Paul,male,,
Feature-Writing,The Stranger,,Eli Sanders,2012,no,Eli,female,,
Feature-Photography,The Star-Ledger,,Matt Rainey,2001,no,Matt,male,,
Feature-Writing,The Star-Ledger,,Amy Ellis Nutt,2011,no,Amy,female,,
Local-Investigative-Specialized-Reporting,The Stamford (CT) Advocate,,Anthony R. Dolan,1978,no,Anthony,male,,
Editorial-Writing,St. Petersburg (FL) Times,,Jeffrey Good,1995,no,Jeffrey,male,,
National-Reporting,The Seattle Times,,Ross Anderson,1990,no,Ross,male,,
Feature-Writing,The Seattle Times,,Peter Mark Rinearson,1984,no,Peter,male,,
Local-Investigative-Specialized-Reporting,The Seattle Times,,Paul Henderson,1982,no,Paul,male,,
Investigative-Reporting,The Seattle Times,,Michael J. Berens,2012,no,Michael,male,,
National-Reporting,The Seattle Times,,Mary Ann Gwinn,1990,no,Mary,mostly_female,,
Investigative-Reporting,The Seattle Times,,Ken Armstrong,2012,no,Ken,male,,
Spot-News-Photography,The Seattle Times,,Gerald H. Gay,1975,no,Gerald,male,,
Investigative-Reporting,The Seattle Times,,Eric Nalder,1997,no,Eric,male,,
National-Reporting,The Seattle Times,,Eric Nalder,1990,no,Eric,male,,
National-Reporting,The Seattle Times,,Edwin O. Guthman,1950,no,Edwin,male,,
Investigative-Reporting,The Seattle Times,,Deborah Nelson,1997,no,Deborah,female,,
Beat-Reporting,The Seattle Times,,Byron Acohido,1997,no,Byron,male,,
National-Reporting,The Seattle Times,,Bill Dietrich,1990,no,Bill,male,,
Investigative-Reporting,The Seattle Times,,Alex Tizon,1997,no,Alex,male,,
Editorial-Cartooning,The Seattle Post-Intelligencer,,David Horsey,2003,no,David,male,,
Editorial-Cartooning,The Seattle Post-Intelligencer,,David Horsey,1999,no,David,male,,
Editorial-Cartooning,The San Diego Union-Tribune,,Steve Breen,2009,no,Steve,male,,
Editorial-Writing,The Sacramento Bee,,Tom Philp,2005,no,Tom,male,,
Feature-Photography,The Sacramento Bee,,Ren_e C. Byer,2007,no,Ren_e,andy,,
Beat-Reporting,The Sacramento (CA) Bee,,Deborah Blum,1992,no,Deborah,female,,
Editorial-Writing,The Riverdale (NY) Press,,Bernard L. Stein,1998,no,Bernard,male,,
Commentary,The Record,,William A. Caldwell,1971,no,William,male,,
Editorial-Writing,The Providence Journal-Bulletin,,George W. Potter,1945,no,George,male,,
Spot-News-Photography,The Press Democrat,,Annie Wells,1997,no,Annie,female,,
Editorial-Writing,The Pottstown (PA) Mercury,,Thomas J. Hylton,1990,no,Thomas,male,,
Editorial-Writing,The Post-Star,,Mark Mahoney,2009,no,Mark,male,,
Commentary,The Plain Dealer,,Connie Schultz,2005,no,Connie,mostly_female,,
Investigative-Reporting,The Philadelphia Inquirer,,William K. Marimow,1985,no,William,male,,
Local-Investigative-Specialized-Reporting,The Philadelphia Inquirer,,Wendell Rawls Jr.,1977,no,Wendell,male,,
Editorial-Cartooning,The Philadelphia Inquirer,,Tony Auth,1976,no,Tony,male,,
Feature-Photography,The Philadelphia Inquirer,,Tom Gralish,1986,no,Tom,male,,
National-Reporting,The Philadelphia Inquirer,,Tim Weiner,1988,no,Tim,male,,
Feature-Writing,The Philadelphia Inquirer,,Steve Twomey,1987,no,Steve,male,,
Explanatory-Journalism,The Philadelphia Inquirer,,Ron Cortes,1997,no,Ron,male,,
International-Reporting,The Philadelphia Inquirer,,Richard Ben Cramer,1979,no,Richard,male,,
Explanatory-Journalism,The Philadelphia Inquirer,,Michael Vitez,1997,no,Michael,male,,
Feature-Photography,The Philadelphia Inquirer,,Larry C. Price,1985,no,Larry,male,,
Investigative-Reporting,The Philadelphia Inquirer,,John Woestendiek,1987,no,John,male,,
National-Reporting,The Philadelphia Inquirer,,James B. Steele,1989,no,James,male,,
National-Reporting,The Philadelphia Inquirer,,James B. Steele,1975,no,James,male,,
Criticism,The Philadelphia Inquirer,,Inga Saffron,2014,no,Inga,female,,
Investigative-Reporting,The Philadelphia Inquirer,,H. G. Bissinger,1987,no,H.,andy,,
Investigative-Reporting,The Philadelphia Inquirer,,Fredric N. Tulsky,1987,no,Fredric,male,,
National-Reporting,The Philadelphia Inquirer,,Donald L. Barlett,1989,no,Donald,male,,
National-Reporting,The Philadelphia Inquirer,,Donald L. Barlett,1975,no,Donald,male,,
Feature-Writing,The Philadelphia Inquirer,,David Zucchino,1989,no,David,male,,
Investigative-Reporting,The Philadelphia Inquirer,,Daniel R. Biddle,1987,no,Daniel,male,,
National-Reporting,The Philadelphia Inquirer,,Arthur Howe,1986,no,Arthur,male,,
Explanatory-Journalism,The Philadelphia Inquirer,,April Saul,1997,no,April,female,,
Local-Investigative-Specialized-Reporting,The Philadelphia Inquirer,,Acel Moore,1977,no,Acel,andy,,
Editorial-Cartooning,The Philadelphia Daily News,,Signe Wilkinson,1992,no,Signe,female,,
Editorial-Writing,The Philadelphia Daily News,,Richard Aregood,1985,no,Richard,male,,
Local-Investigative-Specialized-Reporting,The Philadelphia Bulletin,,James V. Magee,1964,no,James,male,,
Local-Investigative-Specialized-Reporting,The Philadelphia Bulletin,,Frederick Meyer,1964,no,Frederick,male,,
Local-Investigative-Specialized-Reporting,The Philadelphia Bulletin,,Albert V. Gaudiosi,1964,no,Albert,male,,
Local-Reporting,The Patriot-News,,Sara Ganim,2012,no,Sara,female,,
Editorial-Writing,Orlando Sentinel,,John C. Bersia,2000,no,John,male,,
Feature-Writing,The Oregonian,,Tom Hallman Jr.,2001,no,Tom,male,,
Editorial-Writing,The Oregonian,,Ronald G. Callvert,1939,no,Ronald,male,,
Editorial-Writing,The Oregonian,,Rick Attig,2006,no,Rick,male,,
Explanatory-Reporting,The Oregonian,,Richard Read,1999,no,Richard,male,,
Editorial-Writing,The Oregonian,,Doug Bates,2006,no,Doug,male,,
Public-Service,The News & Observer,,Pat Stith,1996,no,Pat,andy,,
Public-Service,The News & Observer,,Melanie Sill,1996,no,Melanie,female,,
Public-Service,The News & Observer,,Joby Warrick,1996,no,Joby,andy,,
International-Reporting,The New York Times and The Washington Post,,Thomas L. Friedman,1983,no,Thomas,male,,
International-Reporting,The New York Times and The Washington Post,,Loren Jenkins,1983,no,Loren,mostly_male,,
Commentary,The New York Times,,William Safire,1978,no,William,male,,
Reporting,The New York Times,,William Leonard Laurence,1946,no,William,male,,
Commentary,The New York Times,,Walter Wellesley (Red) Smith,1976,no,Walter,male,,
Criticism,The New York Times,,Walter Kerr,1978,no,Walter,male,,
Correspondence,The New York Times,,Walter Duranty,1932,no,Walter,male,,
Investigative-Reporting,The New York Times,,Walt Bogdanich,2008,no,Walt,male,,
National-Reporting,The New York Times,,Walt Bogdanich,2005,no,Walt,male,,
Breaking-News-Photography,The New York Times,,Tyler Hicks,2014,no,Tyler,mostly_male,,
International-Reporting,The New York Times,,Thomas L. Friedman,1988,no,Thomas,male,,
Commentary,The New York Times,,Thomas Friedman,2002,no,Thomas,male,,
International-Reporting,The New York Times,,Sydney H. Schanberg,1976,no,Sydney,mostly_male,,
International-Reporting,The New York Times,,Sheryl Wu Dunn,1990,no,Sheryl,female,,
International-Reporting,The New York Times,,Serge Schmemann,1991,no,Serge,male,,
Reporting,The New York Times,,Russell D. Owen,1930,no,Russell,male,,
Commentary,The New York Times,,Russell Baker,1979,no,Russell,male,,
Spot-News-Reporting,The New York Times,,Robert D. McFadden,1996,no,Robert,male,,
Editorial-Writing,The New York Times,,Robert B. Semple,1996,no,Robert,male,,
Feature-Writing,The New York Times,,Rick Bragg,1996,no,Rick,male,,
Criticism,The New York Times,,Paul Goldberger,1984,no,Paul,male,,
Correspondence,The New York Times,,Otto D. Tolischus,1940,no,Otto,male,,
Commentary,The New York Times,,Nicholas D. Kristof,2006,no,Nicholas,male,,
International-Reporting,The New York Times,,Nicholas D. Kristof,1990,no,Nicholas,male,,
Beat-Reporting,The New York Times,,Natalie Angier,1991,no,Natalie,female,,
Feature-Writing,The New York Times,,Nan Robertson,1983,no,Nan,mostly_female,,
Criticism,The New York Times,,Michiko Kakutani,1998,no,Michiko,female,,
Explanatory-Reporting,The New York Times,,Michael Moss,2010,no,Michael,male,,
Local-Reporting,The New York Times,,Meyer Berger,1950,no,Meyer,andy,,
International-Reporting,The New York Times,,Max Frankel,1973,no,Max,male,,
Commentary,The New York Times,,Maureen Dowd,1999,no,Maureen,female,,
National-Reporting,The New York Times,,Matt Richtel,2010,no,Matt,male,,
Criticism,The New York Times,,Margo Jefferson,1995,no,Margo,female,,
Public-Service,The New York Times,,Lowell Bergman,2004,no,Lowell,male,,
Telegraphic-Reporting-(National),The New York Times,,Louis Stark,1942,no,Louis,male,,
Beat-Reporting,The New York Times,,Linda Greenhouse,1998,no,Linda,female,,
Reporting,The New York Times,,Lauren D. Lyman,1936,no,Lauren,mostly_female,,
Feature-Photography,The New York Times,,Josh Haner,2014,no,Josh,male,,
International-Reporting,The New York Times,,Joseph Kahn,2006,no,Joseph,male,,
National-Reporting,The New York Times,,John Noble Wilford,1984,no,John,male,,
National-Reporting,The New York Times,,John M. Crewdson,1981,no,John,male,,
International-Reporting,The New York Times,,John F. Burns,1997,no,John,male,,
International-Reporting,The New York Times,,John F. Burns,1993,no,John,male,,
International-Reporting,The New York Times,,John Darnton,1982,no,John,male,,
Feature-Writing,The New York Times,,John Branch,2013,no,John,male,,
International-Reporting,The New York Times,,Jim Yardley,2006,no,Jim,male,,
International-Reporting,The New York Times,,Jeffrey Gettleman,2012,no,Jeffrey,male,,
National-Reporting,The New York Times,,Jeff Gerth,1999,no,Jeff,male,,
National-Reporting,The New York Times,,James Risen,2006,no,James,male,,
National-Reporting,The New York Times,,James Reston,1957,no,James,male,,
Telegraphic-Reporting-(National),The New York Times,,James B. Reston,1945,no,James,male,,
Investigative-Reporting,The New York Times,,Jake Hooker,2008,no,Jake,male,,
Editorial-Writing,The New York Times,,Jack Rosenthal,1982,no,Jack,male,,
Local-Investigative-Specialized-Reporting,The New York Times,,J. Anthony Lukas,1968,no,J.,andy,,
Feature-Writing,The New York Times,,Isabel Wilkerson,1994,no,Isabel,female,,
Feature-Writing,The New York Times,,Howell Raines,1992,no,Howell,male,,
Criticism,The New York Times,,Holland Cotter,2009,no,Holland,andy,,
International-Reporting,The New York Times,,Henry Kamm,1978,no,Henry,male,,
International-Reporting,The New York Times,,Hedrick Smith,1974,no,Hedrick,andy,,
International-Reporting,The New York Times,,Harrison E. Salisbury,1955,no,Harrison,male,,
Criticism,The New York Times,,Harold C. Schonberg,1971,no,Harold,male,,
Correspondence,The New York Times,,Hanson W. Baldwin,1943,no,Hanson,andy,,
Beat-Reporting,The New York Times,,Gretchen Morgenson,2002,no,Gretchen,female,,
Correspondence,The New York Times,,Frederick T. Birchall,1934,no,Frederick,male,,
Investigative-Reporting,The New York Times,,Eric Lipton,2015,no,Eric,male,,
National-Reporting,The New York Times,,Eric Lichtblau,2006,no,Eric,male,,
International-Reporting,The New York Times,,Ellen Barry,2011,no,Ellen,female,,
Editorial-Writing,The New York Times,,Edward M. Kingsbury,1926,no,Edward,male,,
Criticism,The New York Times,,Donal Henahan,1986,no,Donal,male,,
Commentary,The New York Times,,David Leonhardt,2011,no,David,male,,
Explanatory-Reporting,The New York Times,,David Kocieniewski,2012,no,David,male,,
Beat-Reporting,The New York Times,,David Cay Johnston,2001,no,David,male,,
Investigative-Reporting,The New York Times,,David Barstow,2013,no,David,male,,
Investigative-Reporting,The New York Times,,David Barstow,2009,no,David,male,,
Public-Service,The New York Times,,David Barstow,2004,no,David,male,,
International-Reporting,The New York Times,,David Barboza,2013,no,David,male,,
Commentary,The New York Times,,Dave Anderson,1981,no,Dave,male,,
Feature-Photography,The New York Times,,Damon Winter,2009,no,Damon,male,,
International-Reporting,The New York Times,,Clifford J. Levy,2011,no,Clifford,male,,
Investigative-Reporting,The New York Times,,Clifford J. Levy,2003,no,Clifford,male,,
National-Reporting,The New York Times,,C. P. Trussell,1949,no,C.,andy,,
Correspondence,The New York Times,,Brooks Atkinson,1947,no,Brooks,male,,
International-Reporting,The New York Times,,Bill Keller,1989,no,Bill,male,,
International-Reporting,The New York Times,,Barry Bearak,2002,no,Barry,male,,
Correspondence,The New York Times,,Arthur Krock,1938,no,Arthur,male,,
Correspondence,The New York Times,,Arthur Krock,1935,no,Arthur,male,,
Local-Reporting;-No-Edition-Time,The New York Times,,Arthur Daley,1956,no,Arthur,male,,
Correspondence,The New York Times,,Arnaldo Cortesi,1946,no,Arnaldo,male,,
National-Reporting,The New York Times,,Anthony Lewis,1963,no,Anthony,male,,
National-Reporting,The New York Times,,Anthony Leviero,1952,no,Anthony,male,,
Commentary,The New York Times,,Anna Quindlen,1992,no,Anna,female,,
Feature-Writing,The New York Times,,Andrea Elliott,2007,no,Andrea,female,,
Explanatory-Reporting,The New York Times,,Amy Harmon,2008,no,Amy,female,,
Reporting,The New York Times,,Alva Johnston,1923,no,Alva,andy,,
Specialized-Reporting,The New York Times,,Alex S. Jones,1987,no,Alex,male,,
Investigative-Reporting,The New York Times,,Alejandra Xanic von Bertrab,2013,no,Alejandra,female,,
Criticism,The New York Times,,Ada Louise Huxtable,1970,no,Ada,female,,
International-Reporting,The New York Times,,A. M. Rosenthal,1960,no,A.,andy,,
Editorial-Cartooning,Nashville Tennessean,,Tom Little,1957,no,Tom,male,,
Editorial-Cartooning,The Milwaukee Journal,,Ross A. Lewis,1935,no,Ross,male,,
Local-General-or-Spot-News-Reporting,The Milwaukee Journal,,Margo Huston,1977,no,Margo,female,,
International-Reporting,The Milwaukee Journal,,Austin Wehrwein,1953,no,Austin,male,,
Editorial-Cartooning,The Miami News,,Don Wright,1980,no,Don,male,,
Editorial-Cartooning,The Miami News,,Don Wright,1966,no,Don,male,,
International-Reporting,The Miami Herald,,Shirley Christian,1981,no,Shirley,female,,
International-Reporting,The Miami Herald,,Shirley Christian,1980,no,Shirley,female,,
Breaking-News-Photography,The Miami Herald,,Patrick Farrell,2009,no,Patrick,male,,
Feature-Photography,The Miami Herald,,Michel du Cille,1988,no,Michel,male,,
Spot-News-Photography,The Miami Herald,,Michel du Cille,1986,no,Michel,male,,
Feature-Writing,The Miami Herald,,Madeleine Blais,1980,no,Madeleine,female,,
Commentary,The Miami Herald,,Liz Balmaseda,1993,no,Liz,female,,
Commentary,The Miami Herald,,Leonard Pitts Jr.,2004,no,Leonard,male,,
Editorial-Cartooning,The Miami Herald,,Jim Morin,1996,no,Jim,male,,
General-News-Reporting,The Miami Herald,,Edna Buchanan,1986,no,Edna,female,,
Local-Reporting,The Miami Herald,,Debbie Cenziper,2007,no,Debbie,female,,
Commentary,The Miami Herald,,Dave Barry,1988,no,Dave,male,,
Spot-News-Photography,The Miami Herald,,Carol Guzy,1986,no,Carol,mostly_female,,
National-Reporting,The Miami News,,Howard Van Smith,1959,no,Howard,male,,
International-Reporting,The Miami News,,Hal Hendrix,1963,no,Hal,male,,
National-Reporting,The Kansas City Times,,Rick Atkinson,1982,no,Rick,male,,
Editorial-Cartooning,The Journal News,,Matt Davies,2004,no,Matt,male,,
Investigative-Reporting,The Indianapolis Star,,Susan M. Headden,1991,no,Susan,female,,
Investigative-Reporting,The Indianapolis Star,,Joseph T. Hallinan,1991,no,Joseph,male,,
National-Reporting,The Huffington Post,,David Wood,2012,no,David,male,,
Editorial-Cartooning,The Hartford Times,,Edmund S. Valtman,1962,no,Edmund,male,,
National-Reporting,The Gazette,,David Philipps,2014,no,David,male,,
Editorial-Writing,The Gainesville (FL) Sun,,Horance G. Davis Jr.,1971,no,Horance,andy,,
Local-Reporting;-No-Edition-Time,The Evening Star,,Miriam Ottenberg,1960,no,Miriam,female,,
Local-Reporting;-Edition-Time,The Evening Star,,Mary Lou Werner,1959,no,Mary,female,,
Editorial-Cartooning,The Evening Star,,James T. Berryman,1950,no,James,male,,
Local-Reporting;-No-Edition-Time,The Evening Star,,George Beveridge,1958,no,George,male,,
Editorial-Cartooning,The Evening Star,,Clifford K. Berryman,1944,no,Clifford,male,,
Photography,The Detroit News,,Milton Brooks,1942,no,Milton,male,,
Beat-Reporting,The Detroit News,,Jim Mitzelfeld,1994,no,Jim,male,,
Beat-Reporting,The Detroit News,,Eric Freedman,1994,no,Eric,male,,
Breaking-News-Photography,Des Moines Register,,Mary Chind,2010,no,Mary,mostly_female,,
Editorial-Cartooning,The Denver Post,,Paul Conrad,1964,no,Paul,male,,
Editorial-Cartooning,The Denver Post,,Patrick B. Oliphant,1967,no,Patrick,male,,
Editorial-Cartooning,The Denver Post,,Mike Keefe,2011,no,Mike,male,,
Feature-Photography,The Denver Post,,Craig F. Walker,2012,no,Craig,male,,
Feature-Photography,The Denver Post,,Craig F. Walker,2010,no,Craig,male,,
Feature-Photography,The Denver Post,,Anthony Suau,1984,no,Anthony,male,,
Editorial-Writing,The Delta Democrat-Times,,Hodding Carter,1946,no,Hodding,andy,,
Explanatory-Journalism,The Dallas Morning News,,William Snyder,1989,no,William,male,,
Feature-Photography,The Dallas Morning News,,William Snyder,1991,no,William,male,,
Spot-News-Photography,The Dallas Morning News,,William Snyder,1993,no,William,male,,
Editorial-Writing,The Dallas Morning News,,William McKenzie,2010,no,William,male,,
Editorial-Writing,The Dallas Morning News,,Tod Robberson,2010,no,Tod,male,,
Spot-News-Photography,The Dallas Morning News,,Ken Geiger,1993,no,Ken,male,,
Explanatory-Journalism,The Dallas Morning News,,Karen Blessen,1989,no,Karen,female,,
National-Reporting,The Dallas Morning News,,George Rodrigue,1986,no,George,male,,
Breaking-News-Photography,The Dallas Morning News,,David Leeson,2004,no,David,male,,
Explanatory-Journalism,The Dallas Morning News,,David Hanners,1989,no,David,male,,
International-Reporting,The Dallas Morning News,,Dallas Morning News Team,1994,no,Dallas,mostly_male,,
National-Reporting,The Dallas Morning News,,Craig Flournoy,1986,no,Craig,male,,
Editorial-Writing,The Dallas Morning News,,Colleen McCain Nelson,2010,no,Colleen,female,,
Breaking-News-Photography,The Dallas Morning News,,Cheryl Diaz Meyer,2004,no,Cheryl,female,,
Editorial-Writing,The Daily Tribune,,Michael Gartner,1997,no,Michael,male,,
Editorial-Cartooning,Louisville Courier-Journal,,Nick Anderson,2005,no,Nick,male,,
Editorial-Cartooning,The Cincinnati Enquirer,,Jim Borgman,1991,no,Jim,male,,
National-Reporting,The Christian Science Monitor,,Robert Cahn,1969,no,Robert,male,,
International-Reporting,The Christian Science Monitor,,R. John Hughes,1967,no,R.,andy,,
National-Reporting,The Christian Science Monitor,,Howard James,1968,no,Howard,male,,
International-Reporting,The Christian Science Monitor,,Edmund Stevens,1950,no,Edmund,male,,
International-Reporting,The Christian Science Monitor,,David Rohde,1996,no,David,male,,
Editorial-Cartooning,The Christian Science Monitor,,Clay Bennett,2002,no,Clay,male,,
Commentary,Chicago Tribune,,Mary Schmich,2012,no,Mary,mostly_female,,
Editorial-Cartooning,The Charlotte Observer,,Kevin Siers,2014,no,Kevin,male,,
Editorial-Cartooning,The Charlotte Observer,,Eugene Gray Payne,1968,no,Eugene,male,,
Investigative-Reporting,The Center for Public Integrity,,Chris Hamby,2014,no,Chris,mostly_male,,
Editorial-Cartooning,The Buffalo News,,Tom Toles,1990,no,Tom,male,,
Editorial-Cartooning,The Buffalo News,,Adam Zyglis,2015,no,Adam,male,,
Criticism,The Boston Phoenix,,Lloyd Schwartz,1994,no,Lloyd,male,,
Editorial-Writing,The Boston Herald,,John H. Crider,1949,no,John,male,,
Criticism,The Boston Globe,,William A. Henry III,1980,no,William,male,,
Criticism,The Boston Globe,,Wesley Morris,2012,no,Wesley,male,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Timothy Leland,1972,no,Timothy,male,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Stephen A. Kurkjian,1980,no,Stephen,male,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Stephen A. Kurkjian,1972,no,Stephen,male,,
Feature-Photography,The Boston Globe,,Stan Grossfeld,1985,no,Stan,male,,
Spot-News-Photography,The Boston Globe,,Stan Grossfeld,1984,no,Stan,male,,
Criticism,The Boston Globe,,Sebastian Smee,2011,no,Sebastian,male,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Robert M. Porterfield,1980,no,Robert,male,,
Criticism,The Boston Globe,,Robert Campbell,1996,no,Robert,male,,
Editorial-Cartooning,The Boston Globe,,Paul Szep,1977,no,Paul,male,,
Editorial-Cartooning,The Boston Globe,,Paul Szep,1974,no,Paul,male,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Norman Lockman,1984,no,Norman,male,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Nils Bruzelius,1980,no,Nils,male,,
Criticism,The Boston Globe,,Mark Feeney,2008,no,Mark,male,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Kirk Scharfenberg,1984,no,Kirk,male,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Kenneth Cooper,1984,no,Kenneth,male,,
Editorial-Writing,The Boston Globe,,Kathleen Kingsbury,2015,no,Kathleen,female,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Jonathan Kaufman,1984,no,Jonathan,male,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Joan Vennochi,1980,no,Joan,female,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Joan Fitz Gerald,1984,no,Joan,female,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Gerard M. O'Neill,1972,no,Gerard,male,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Gary Mc Millan,1984,no,Gary,male,,
Explanatory-Reporting,The Boston Globe,,Gareth Cook,2005,no,Gareth,male,,
Criticism,The Boston Globe,,Gail Caldwell,2001,no,Gail,mostly_female,,
Commentary,The Boston Globe,,Ellen H. Goodman,1980,no,Ellen,female,,
Commentary,The Boston Globe,,Eileen McNamara,1997,no,Eileen,female,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,David Wessel,1984,no,David,male,,
Beat-Reporting,The Boston Globe,,David Shribman,1995,no,David,male,,
National-Reporting,The Boston Globe,,Charlie Savage,2007,no,Charlie,mostly_male,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Ann Desantis,1972,no,Ann,female,,
Local-Investigative-Specialized-Reporting,The Boston Globe,,Alexander B. Hawes Jr.,1980,no,Alexander,male,,
Investigative-Reporting,The Blade,,Mitch Weiss,2004,no,Mitch,male,,
Investigative-Reporting,The Blade,,Michael D. Sallah,2004,no,Michael,male,,
Investigative-Reporting,The Blade,,Joe Mahr,2004,no,Joe,male,,
Editorial-Writing,The Birmingham (AL) News,,Ron Casey,1991,no,Ron,male,,
Editorial-Writing,The Birmingham (AL) News,,Joey Kennedy,1991,no,Joey,male,,
Editorial-Writing,The Birmingham (AL) News,,Harold Jackson,1991,no,Harold,male,,
Investigative-Reporting,The Birmingham (AL) News,,Brett Blackledge,2007,no,Brett,male,,
Investigative-Reporting,The Baltimore Sun,,Will Englund,1998,no,Will,mostly_male,,
International-Reporting,The Baltimore Sun,,Price Day,1949,no,Price,male,,
International-Reporting,The Baltimore Sun,,Paul W. Ward,1948,no,Paul,male,,
Telegraphic-Reporting-(International),The Baltimore Sun,,Mark S. Watson,1945,no,Mark,male,,
Feature-Writing,The Baltimore Sun,,Lisa Pollak,1997,no,Lisa,female,,
Editorial-Writing,The Baltimore Sun,,John W. Owens,1937,no,John,male,,
Investigative-Reporting,The Baltimore Sun,,Gary Cohn,1998,no,Gary,male,,
Editorial-Cartooning,The Baltimore Sun,,Edmund Duffy,1940,no,Edmund,male,,
Editorial-Cartooning,The Baltimore Sun,,Edmund Duffy,1934,no,Edmund,male,,
Editorial-Cartooning,The Baltimore Sun,,Edmund Duffy,1931,no,Edmund,male,,
Beat-Reporting,The Baltimore Sun,,Diana K. Sugg,2003,no,Diana,female,,
Telegraphic-Reporting-(National),The Baltimore Sun,,Dewey L. Fleming,1944,no,Dewey,male,,
Feature-Writing,The Baltimore Sun,,Alice Steinbach,1985,no,Alice,female,,
Explanatory-Journalism,The Baltimore Evening Sun,,Jon Franklin,1985,no,Jon,male,,
Explanatory-Journalism,The Atlanta Journal-Constitution,,Mike Toner,1993,no,Mike,male,,
Editorial-Cartooning,The Atlanta Journal-Constitution,,Mike Luckovich,2006,no,Mike,male,,
Local-Reporting,The Atlanta Journal-Constitution,,George E. Goodwin,1948,no,George,male,,
Commentary,The Atlanta Journal-Constitution,,Cynthia Tucker,2007,no,Cynthia,female,,
Investigative-Reporting,The Atlanta Journal-Constitution,,Bill Dedman,1989,no,Bill,male,,
Editorial-Cartooning,The Atlanta Constitution,Charlotte Observer,Doug Marlette,1988,no,Doug,male,,
Editorial-Cartooning,The Atlanta Constitution,,Mike Luckovich,1995,no,Mike,male,,
Editorial-Writing,The Atlanta Constitution,,Eugene Patterson,1967,no,Eugene,male,,
Editorial-Writing,The Atlanta Constitution,,Ralph McGill,1959,no,Ralph,male,,
Local-Reporting;-Edition-Time,The Atlanta Constitution,,Jack Nelson,1960,no,Jack,male,,
Investigative-Reporting,Associated Press,,Matt Apuzzo,2012,no,Matt,male,,
Investigative-Reporting,Associated Press,,Eileen Sullivan,2012,no,Eileen,female,,
Investigative-Reporting,Associated Press,,Chris Hawley,2012,no,Chris,mostly_male,,
Investigative-Reporting,Associated Press,,Adam Goldman,2012,no,Adam,male,,
Editorial-Cartooning,The Arizona Republic,,Stephen R. Benson,1993,no,Stephen,male,,
Local-Investigative-Specialized-Reporting,The Arizona Daily Star,,Robert B. Lowe,1981,no,Robert,male,,
Local-Investigative-Specialized-Reporting,The Arizona Daily Star,,Clark Hallas,1981,no,Clark,male,,
Local-Reporting,Tampa Bay Times,,Will Hobson,2014,no,Will,mostly_male,,
Editorial-Writing,Tampa Bay Times,,Tim Nickens,2013,no,Tim,male,,
Local-Reporting,Tampa Bay Times,,Michael LaForgia,2014,no,Michael,male,,
Editorial-Writing,Tampa Bay Times,,Daniel Ruth,2013,no,Daniel,male,,
Local-Investigative-Specialized-Reporting,Tampa (FL) Tribune,,John Anthony Frasca,1966,no,John,male,,
Editorial-Cartooning,Star Tribune,,Steve Sack,2013,no,Steve,male,,
Investigative-Reporting,Star Tribune,,Lou Kilzer,1990,no,Lou,mostly_male,,
Local-Reporting,Star Tribune,,Jeremy Olson,2013,no,Jeremy,male,,
Local-Reporting,Star Tribune,,Glenn Howatt,2013,no,Glenn,male,,
Investigative-Reporting,Star Tribune,,Chris Ison,1990,no,Chris,mostly_male,,
Local-Reporting,Star Tribune,,Brad Schrade,2013,no,Brad,male,,
Feature-Writing,St. Petersburg (FL) Times,,Thomas French,1998,no,Thomas,male,,
Feature-Writing,St. Petersburg (FL) Times,,Lane DeGregory,2009,no,Lane,male,,
Feature-Writing,St. Petersburg (FL) Times,,Sheryl James,1991,no,Sheryl,female,,
Investigative-Reporting,St. Petersburg (FL) Times,,Lucy Morgan,1985,no,Lucy,female,,
Investigative-Reporting,St. Petersburg (FL) Times,,Jack Reed,1985,no,Jack,male,,
National-Reporting,St. Petersburg (FL) Times,,Charles Stafford,1980,no,Charles,male,,
National-Reporting,St. Petersburg (FL) Times,,Bette Swenson Orsini,1980,no,Bette,female,,
Feature-Writing,St. Paul Pioneer Press,,Jacqui Banaszynski,1988,no,Jacqui,female,,
Feature-Writing,St. Paul Pioneer Press,,John Camp,1986,no,John,male,,
Beat-Reporting,St. Paul Pioneer Press,,George Dohrmann,2000,no,George,male,,
