category,publication,name,year
Correspondence,St. Louis Post-Dispatch,Charles G. Ross,1932
Correspondence,The New York Times,Walter Duranty,1932
Correspondence,Philadelphia Public Ledger and New York Evening Post,H. R. Knickerbocker,1931
Correspondence,New York Herald Tribune,Leland Stowe,1930
Correspondence,Chicago Daily News,Paul Scott Mowrer,1929
Criticism,Los Angeles Times,Mary McNamara,2015
Criticism,The Philadelphia Inquirer,Inga Saffron,2014
Criticism,The Washington Post,Philip Kennicott,2013
Criticism,The Boston Globe,Wesley Morris,2012
Criticism,The Boston Globe,Sebastian Smee,2011
Criticism,The Washington Post,Sarah Kaufman,2010
Criticism,The New York Times,Holland Cotter,2009
Criticism,The Boston Globe,Mark Feeney,2008
Criticism,LA Weekly,Jonathan Gold,2007
Criticism,The Washington Post,Robin Givhan,2006
Criticism,The Wall Street Journal,Joe Morgenstern,2005
Criticism,Los Angeles Times,Dan Neil,2004
Criticism,The Washington Post,Stephen Hunter,2003
Criticism,Newsday,Justin Davidson,2002
Criticism,The Boston Globe,Gail Caldwell,2001
Criticism,The Washington Post,Henry Allen,2000
Criticism,Chicago Tribune,Blair Kamin,1999
Criticism,The New York Times,Michiko Kakutani,1998
Criticism,The Washington Post,Tim Page,1997
Criticism,The Boston Globe,Robert Campbell,1996
Criticism,The New York Times,Margo Jefferson,1995
Criticism,The Boston Phoenix,Lloyd Schwartz,1994
Criticism,The Washington Post,Michael Dirda,1993
Criticism,No Award,No Award,1992
Criticism,Los Angeles Times,David Shaw,1991
Criticism,San Francisco Chronicle,Allan Temko,1990
Criticism,News and Observer,Michael Skube,1989
Criticism,The Washington Post,Tom Shales,1988
Criticism,Los Angeles Times,Richard Eder,1987
Criticism,The New York Times,Donal Henahan,1986
Criticism,Los Angeles Times,Howard Rosenberg,1985
Criticism,The New York Times,Paul Goldberger,1984
Criticism,The Wall Street Journal,Manuela Hoelterhoff,1983
Criticism,Los Angeles Times,Martin Bernheimer,1982
Criticism,The Washington Star,Jonathan Yardley,1981
Criticism,The Boston Globe,William A. Henry III,1980
Criticism,Chicago Tribune,Paul Gapp,1979
Criticism,The New York Times,Walter Kerr,1978
Criticism,The Washington Post,William McPherson,1977
Criticism,The Washington Post,Alan M. Kriegsman,1976
Criticism,Chicago Sun-Times,Roger Ebert,1975
Criticism,Newsday Syndicate,Emily Genauer,1974
Criticism,Chicago Sun-Times,Ronald Powers,1973
Criticism,St. Louis Post-Dispatch,Frank Peters Jr.,1972
Criticism,The New York Times,Harold C. Schonberg,1971
Criticism,The New York Times,Ada Louise Huxtable,1970
Editorial-Cartooning,The Buffalo News,Adam Zyglis,2015
Editorial-Cartooning,The Charlotte Observer,Kevin Siers,2014
Editorial-Cartooning,Star Tribune,Steve Sack,2013
Editorial-Cartooning,POLITICO,Matt Wuerker,2012
Editorial-Cartooning,The Denver Post,Mike Keefe,2011
Editorial-Cartooning,"self syndicated, appearing on SFGate.com",Mark Fiore,2010
Editorial-Cartooning,The San Diego Union-Tribune,Steve Breen,2009
Editorial-Cartooning,Investor's Business Daily,Michael Ramirez,2008
Editorial-Cartooning,Newsday,Walt Handelsman,2007
Editorial-Cartooning,The Atlanta Journal-Constitution,Mike Luckovich,2006
Editorial-Cartooning,The Courier-Journal,Nick Anderson,2005
Editorial-Cartooning,The Journal News,Matt Davies,2004
Editorial-Cartooning,The Seattle Post-Intelligencer,David Horsey,2003
Editorial-Cartooning,The Christian Science Monitor,Clay Bennett,2002
Editorial-Cartooning,Tribune Media Services,Ann Telnaes,2001
Editorial-Cartooning,Lexington (KY) Herald-Leader,Joel Pett,2000
Editorial-Cartooning,The Seattle Post-Intelligencer,David Horsey,1999
Editorial-Cartooning,Asbury Park Press,Stephen P. Breen,1998
Editorial-Cartooning,Times-Picayune,Walt Handelsman,1997
Editorial-Cartooning,The Miami Herald,Jim Morin,1996
Editorial-Cartooning,The Atlanta Constitution,Mike Luckovich,1995
Editorial-Cartooning,Commercial Appeal,Michael P. Ramirez,1994
Editorial-Cartooning,The Arizona Republic,Stephen R. Benson,1993
Editorial-Cartooning,The Philadelphia Daily News,Signe Wilkinson,1992
