category,publication,name,year
Feature-Photography,Chattanooga News-Free Press,Robin Hood,1977
Feature-Photography,Louisville Courier-Journal and Times,Photographic Staff,1976
Feature-Photography,The Washington Post,Matthew Lewis,1975
Feature-Photography,Associated Press,Slava Veder,1974
Feature-Photography,Topeka Capital-Journal,Brian Lanker,1973
Feature-Photography,United Press International,Dave Kennerly,1972
Feature-Photography,Chicago Sun-Times,Jack Dykinga,1971
Feature-Photography,Palm Beach Post,Dallas Kinney,1970
Feature-Photography,Ebony Magazine,Moneta Sleet Jr.,1969
Feature-Photography,United Press Internationalcategory,Toshio Sakai,1968
Feature-Writing,Los Angeles Times,Diana Marcum,2015
Feature-Writing,No Award,No award,2014
Feature-Writing,The New York Times,John Branch,2013
Feature-Writing,The Stranger,Eli Sanders,2012
Feature-Writing,The Star-Ledger,Amy Ellis Nutt,2011
Feature-Writing,The Washington Post,Gene Weingarten,2010
Feature-Writing,St. Petersburg Times,Lane DeGregory,2009
Feature-Writing,The Washington Post,Gene Weingarten,2008
Feature-Writing,The New York Times,Andrea Elliott,2007
Feature-Writing,Rocky Mountain News,Jim Sheeler,2006
Feature-Writing,Chicago Tribune,Julia Keller,2005
Feature-Writing,No Award,No award,2004
Feature-Writing,Los Angeles Times,Sonia Nazario,2003
Feature-Writing,Los Angeles Times,Barry Siegel,2002
Feature-Writing,The Oregonian,Tom Hallman Jr.,2001
Feature-Writing,Los Angeles Times,J.R. Moehringer,2000
Feature-Writing,The Wall Street Journal,Angelo B. Henderson,1999
Feature-Writing,St. Petersburg Times,Thomas French,1998
Feature-Writing,The Baltimore Sun,Lisa Pollak,1997
Feature-Writing,The New York Times,Rick Bragg,1996
Feature-Writing,The Wall Street Journal,Ron Suskind,1995
Feature-Writing,The New York Times,Isabel Wilkerson,1994
Feature-Writing,The Washington Post,George Lardner Jr.,1993
Feature-Writing,The New York Times,Howell Raines,1992
Feature-Writing,St. Petersburg (FL) Times,Sheryl James,1991
Feature-Writing,Colorado Springs Gazette Telegraph,Dave Curtin,1990
Feature-Writing,The Philadelphia Inquirer,David Zucchino,1989
Feature-Writing,St. Paul Pioneer Press Dispatch,Jacqui Banaszynski,1988
Feature-Writing,The Philadelphia Inquirer,Steve Twomey,1987
Feature-Writing,St. Paul Pioneer Press and Dispatch,John Camp,1986
Feature-Writing,The Baltimore Sun,Alice Steinbach,1985
Feature-Writing,The Seattle Times,Peter Mark Rinearson,1984
Feature-Writing,The New York Times,Nan Robertson,1983
Feature-Writing,Associated Press,Saul Pett,1982
Feature-Writing,The Village Voice,Teresa Carpenter,1981
Feature-Writing,The Miami Herald,Madeleine Blais,1980
Feature-Writing,Baltimore Evening Suncategory,Jon D. Franklin,1979
General-News-Reporting,San Jose (CA) Mercury News,Staff,1990
General-News-Reporting,Louisville Courier-Journal,Staff,1989
General-News-Reporting,Lawrence (MA) Eagle-Tribune,Staff,1988
General-News-Reporting,The Alabama Journal,Staff,1988
General-News-Reporting,Akron Beacon Journal,Staff,1987
General-News-Reporting,The Miami Herald,Edna Buchanan,1986
General-News-Reporting,Virginian-Pilot and Ledger-Star,Thomas Turcol,1985
International-Reporting,The New York Times ,Staff,2015
International-Reporting,Reuters,Andrew R.C. Marshall,2014
International-Reporting,Reuters,Jason Szep,2014
International-Reporting,The New York Times,David Barboza,2013
International-Reporting,The New York Times,Jeffrey Gettleman,2012
International-Reporting,The New York Times,Ellen Barry,2011
International-Reporting,The New York Times,Clifford J. Levy,2011
International-Reporting,The Washington Post,Anthony Shadid,2010
International-Reporting,The New York Times,Staff,2009
International-Reporting,The Washington Post,Steve Fainaru,2008
International-Reporting,The Wall Street Journal,Staff,2007
International-Reporting,The New York Times,Jim Yardley,2006
International-Reporting,The New York Times,Joseph Kahn,2006
International-Reporting,Los Angeles Times,Kim Murphy,2005
International-Reporting,Newsday,Dele Olojede,2005
International-Reporting,The Washington Post,Anthony Shadid,2004
International-Reporting,The Washington Post,Mary Jordan,2003
International-Reporting,The Washington Post,Kevin Sullivan,2003
International-Reporting,The New York Times,Barry Bearak,2002
International-Reporting,The Wall Street Journal,Ian Johnson,2001
International-Reporting,Chicago Tribune,Paul Salopek,2001
International-Reporting,The Village Voice,Mark Schoofs,2000
International-Reporting,The Wall Street Journal,Staff,1999
International-Reporting,The New York Times,Staff,1998
International-Reporting,The New York Times,John F. Burns,1997
International-Reporting,The Christian Science Monitor,David Rohde,1996
International-Reporting,Associated Press,Mark Fritz,1995
International-Reporting,The Dallas Morning News,Dallas Morning News Team,1994
International-Reporting,Newsday,Roy Gutman,1993
International-Reporting,The New York Times,John F. Burns,1993
International-Reporting,Newsday,Patrick J. Sloyan,1992
International-Reporting,The New York Times,Serge Schmemann,1991
International-Reporting,The Washington Post,Caryle Murphy,1991
International-Reporting,The New York Times,Sheryl Wu Dunn,1990
International-Reporting,The New York Times,Nicholas D. Kristof,1990
International-Reporting,The New York Times,Bill Keller,1989
International-Reporting,The Washington Post,Glenn Frankel,1989
International-Reporting,The New York Times,Thomas L. Friedman,1988
International-Reporting,Los Angeles Times,Michael Parks,1987
International-Reporting,San Jose (CA) Mercury News,Katherine Ellison,1986
International-Reporting,San Jose (CA) Mercury News,Pete Carey,1986
International-Reporting,San Jose (CA) Mercury News,Lewis M. Simons,1986
International-Reporting,Newsday,Ozier Muhammad,1985
International-Reporting,Newsday,Dennis Bell,1985
International-Reporting,Newsday,Josh Friedman,1985
International-Reporting,The Wall Street Journal,Karen Elliott House,1984
International-Reporting,The New York Times and The Washington Post,Loren Jenkins,1983
International-Reporting,The New York Times and The Washington Post,Thomas L. Friedman,1983
International-Reporting,The New York Times,John Darnton,1982
International-Reporting,The Miami Herald,Shirley Christian,1981
International-Reporting,The Miami Herald,Shirley Christian,1980
International-Reporting,The Philadelphia Inquirer,Richard Ben Cramer,1979
International-Reporting,The New York Times,Henry Kamm,1978
International-Reporting,No Award,No Award,1977
International-Reporting,The New York Times,Sydney H. Schanberg,1976
International-Reporting,Chicago Tribune,Ovie Carter,1975
International-Reporting,Chicago Tribune,William Mullen,1975
International-Reporting,The New York Times,Hedrick Smith,1974
International-Reporting,The New York Times,Max Frankel,1973
International-Reporting,The Wall Street Journal,Peter R. Kann,1972
International-Reporting,The Washington Post,Jimmie Lee Hoagland,1971
International-Reporting,Dispatch News Service,Seymour M. Hersh,1970
International-Reporting,Los Angeles Times,William Tuohy,1969
International-Reporting,The Washington Post,Alfred Friendly,1968
International-Reporting,The Christian Science Monitor,R. John Hughes,1967
International-Reporting,Associated Press,Peter Arnett,1966
International-Reporting,Philadelphia Bulletin,J. A. Livingston,1965
International-Reporting,Associated Press and The New York Times,David Halberstam,1964
International-Reporting,Associated Press and The New York Times,Malcolm W. Browne,1964
International-Reporting,The Miami (FL) News,Hal Hendrix,1963
International-Reporting,New York Herald Tribune Syndicate,Walter Lippmann,1962
International-Reporting,Associated Press,Lynn Heinzerling,1961
International-Reporting,The New York Times,A. M. Rosenthal,1960
International-Reporting,New York Daily News,Philip Santora,1959
International-Reporting,New York Daily News,Joseph Martin,1959
International-Reporting,The New York Times,Staff,1958
International-Reporting,United Press,Russell Jones,1957
International-Reporting,International News Service,Frank Conniff,1956
International-Reporting,International News Service,J. Kingsbury-Smith,1956
International-Reporting,International News Service,William Randolph Hearst Jr.,1956
International-Reporting,The New York Times,Harrison E. Salisbury,1955
International-Reporting,Scripps-Howard Newspapers,Jim G. Lucas,1954
International-Reporting,The Milwaukee Journal,Austin Wehrwein,1953
International-Reporting,Associated Press,John M. Hightower,1952
International-Reporting,None,None,1951
International-Reporting,The Christian Science Monitor,Edmund Stevens,1950
International-Reporting,The Baltimore Sun,Price Day,1949
International-Reporting,The Baltimore Sun,Paul W. Ward,1948
Investigative-Reporting,The New York Times,Eric Lipton,2015
Investigative-Reporting,The Wall Street Journal ,Staff,2015
Investigative-Reporting,The Center for Public Integrity,Chris Hamby,2014
Investigative-Reporting,The New York Times,Alejandra Xanic von Bertrab,2013
Investigative-Reporting,The New York Times,David Barstow,2013
Investigative-Reporting,the Associated Press,Chris Hawley,2012
Investigative-Reporting,the Associated Press,Eileen Sullivan,2012
Investigative-Reporting,the Associated Press,Adam Goldman,2012
Investigative-Reporting,the Associated Press,Matt Apuzzo,2012
Investigative-Reporting,The Seattle Times,Ken Armstrong,2012
Investigative-Reporting,The Seattle Times,Michael J. Berens,2012
Investigative-Reporting,Sarasota Herald-Tribune,Paige St. John,2011
Investigative-Reporting,Philadelphia Daily News,Wendy Ruderman,2010
Investigative-Reporting,Philadelphia Daily News,Barbara Laker,2010
Investigative-Reporting,"ProPublica, in collaboration with The New York Times Magazine",Sheri Fink,2010
Investigative-Reporting,The New York Times,David Barstow,2009
Investigative-Reporting,The New York Times,Jake Hooker,2008
Investigative-Reporting,The New York Times,Walt Bogdanich,2008
Investigative-Reporting,Chicago Tribune,Staff,2008
Investigative-Reporting,The Birmingham (AL) News,Brett Blackledge,2007
Investigative-Reporting,The Washington Post,R. Jeffrey Smith,2006
Investigative-Reporting,The Washington Post,James V. Grimaldi,2006
Investigative-Reporting,The Washington Post,Susan Schmidt,2006
Investigative-Reporting,Willamette Week,Nigel Jaquiss,2005
Investigative-Reporting,The Blade,Joe Mahr,2004
Investigative-Reporting,The Blade,Mitch Weiss,2004
Investigative-Reporting,The Blade,Michael D. Sallah,2004
Investigative-Reporting,The New York Times,Clifford J. Levy,2003
Investigative-Reporting,The Washington Post,Sarah Cohen,2002
Investigative-Reporting,The Washington Post,Scott Higham,2002
Investigative-Reporting,The Washington Post,Sari Horwitz,2002
Investigative-Reporting,Los Angeles Times,David Willman,2001
Investigative-Reporting,Associated Press,Martha Mendoza,2000
Investigative-Reporting,Associated Press,Charles J. Hanley,2000
Investigative-Reporting,Associated Press,Sang-Hun Choe,2000
Investigative-Reporting,The Miami Herald,Staff,1999
Investigative-Reporting,The Baltimore Sun,Will Englund,1998
Investigative-Reporting,The Baltimore Sun,Gary Cohn,1998
Investigative-Reporting,The Seattle Times,Alex Tizon,1997
Investigative-Reporting,The Seattle Times,Deborah Nelson,1997
Investigative-Reporting,The Seattle Times,Eric Nalder,1997
Investigative-Reporting,The Orange County Register,Staff,1996
Investigative-Reporting,Newsday,Stephanie Saul,1995
Investigative-Reporting,Newsday,Brian Donovan,1995
Investigative-Reporting,Providence Journal-Bulletin,Staff,1994
Investigative-Reporting,Orlando (FL) Sentinel,Steve Berry,1993
Investigative-Reporting,Orlando (FL) Sentinel,Jeff Brazil,1993
Investigative-Reporting,Dallas Morning News,Dan Malone,1992
Investigative-Reporting,Dallas Morning News,Lorraine Adams,1992
Investigative-Reporting,The Indianapolis Star,Susan M. Headden,1991
Investigative-Reporting,The Indianapolis Star,Joseph T. Hallinan,1991
Investigative-Reporting,Star Tribune,Chris Ison,1990
Investigative-Reporting,Star Tribune,Lou Kilzer,1990
Investigative-Reporting,The Atlanta Journal and Constitution,Bill Dedman,1989
Investigative-Reporting,Chicago Tribune,Ann Marie Lipinski,1988
Investigative-Reporting,Chicago Tribune,William Gaines,1988
Investigative-Reporting,Chicago Tribune,Dean Baquet,1988
Investigative-Reporting,The Philadelphia Inquirer,John Woestendiek,1987
Investigative-Reporting,The Philadelphia Inquirer,Fredric N. Tulsky,1987
Investigative-Reporting,The Philadelphia Inquirer,H. G. Bissinger,1987
Investigative-Reporting,The Philadelphia Inquirer,Daniel R. Biddle,1987
Investigative-Reporting,Lexington (KY) Herald Leader,Michael M. York,1986
Investigative-Reporting,Lexington (KY) Herald Leader,Jeffrey A. Marx,1986
Investigative-Reporting,The Philadelphia Inquirer,William K. Marimow,1985
Investigative-Reporting,St. Petersburg (FL) Times,Jack Reed,1985
Investigative-Reporting,St. Petersburg (FL) Times,Lucy Morgan,1985
Local-General-or-Spot-News-Reporting,Newsday,Newsday team of reporters,1984
Local-General-or-Spot-News-Reporting,Fort Wayne (IN) News-Sentinel,Editorial Staff,1983
Local-General-or-Spot-News-Reporting,Kansas City Star and Kansas City Times,Staff,1982
Local-General-or-Spot-News-Reporting,Longview (WA) Daily News,Staff,1981
Local-General-or-Spot-News-Reporting,The Philadelphia Inquirer,Staff,1980
Local-General-or-Spot-News-Reporting,San Diego (CA) Evening Tribune,Staff,1979
Local-General-or-Spot-News-Reporting,Louisville Courier-Journal,Richard Whitt,1978
Local-General-or-Spot-News-Reporting,The Milwaukee Journal,Margo Huston,1977
Local-General-or-Spot-News-Reporting,Miami Herald,Gene Miller,1976
Local-General-or-Spot-News-Reporting,Xenia (OH) Daily Gazette,Staff,1975
Local-General-or-Spot-News-Reporting,Chicago Sun-Times,Hugh F. Hough,1974
Local-General-or-Spot-News-Reporting,Chicago Sun-Times,Arthur M. Petacque,1974
Local-General-or-Spot-News-Reporting,Chicago Tribune,Staff,1973
Local-General-or-Spot-News-Reporting,Rochester (NY) Times-Union,John Machacek,1972
Local-General-or-Spot-News-Reporting,Rochester (NY) Times-Union,Richard Cooper,1972
Local-General-or-Spot-News-Reporting,Akron (OH) Beacon Journal,Staff,1971
Local-General-or-Spot-News-Reporting,Chicago Sun-Times,Thomas Fitzpatrick,1970
Local-General-or-Spot-News-Reporting,Louisville Times and Courier-Journal,John Fetterman,1969
Local-General-or-Spot-News-Reporting,Detroit Free Press,Staff,1968
Local-General-or-Spot-News-Reporting,Chambersburg (Pennsylvania) Public Opinion,Robert V. Cox,1967
Local-General-or-Spot-News-Reporting,Los Angeles Times,Staff,1966
Local-General-or-Spot-News-Reporting,Hungry Horse News,Melvin H. Ruder,1965
Local-General-or-Spot-News-Reporting,The Wall Street Journal,Norman C. Miller,1964
Local-Investigative-Specialized-Reporting,The Boston Globe,David Wessel,1984
Local-Investigative-Specialized-Reporting,The Boston Globe,Kirk Scharfenberg,1984
Local-Investigative-Specialized-Reporting,The Boston Globe,Gary Mc Millan,1984
Local-Investigative-Specialized-Reporting,The Boston Globe,Norman Lockman,1984
Local-Investigative-Specialized-Reporting,The Boston Globe,Jonathan Kaufman,1984
Local-Investigative-Specialized-Reporting,The Boston Globe,Joan Fitz Gerald,1984
Local-Investigative-Specialized-Reporting,The Boston Globe,Kenneth Cooper,1984
Local-Investigative-Specialized-Reporting,The Washington Post,Loretta Tofani,1983
Local-Investigative-Specialized-Reporting,The Seattle Times,Paul Henderson,1982
Local-Investigative-Specialized-Reporting,The Arizona Daily Star,Robert B. Lowe,1981
Local-Investigative-Specialized-Reporting,The Arizona Daily Star,Clark Hallas,1981
Local-Investigative-Specialized-Reporting,The Boston Globe,Robert M. Porterfield,1980
Local-Investigative-Specialized-Reporting,The Boston Globe,Joan Vennochi,1980
Local-Investigative-Specialized-Reporting,The Boston Globe,Nils Bruzelius,1980
Local-Investigative-Specialized-Reporting,The Boston Globe,Alexander B. Hawes Jr.,1980
Local-Investigative-Specialized-Reporting,The Boston Globe,Stephen A. Kurkjian,1980
Local-Investigative-Specialized-Reporting,Pottsville (PA) Republican,Elliot G. Jaspin,1979
Local-Investigative-Specialized-Reporting,Pottsville (PA) Republican,Gilbert M. Gaul,1979
Local-Investigative-Specialized-Reporting,The Stamford (CT) Advocate,Anthony R. Dolan,1978
Local-Investigative-Specialized-Reporting,the Philadelphia Inquirer,Wendell Rawls Jr.,1977
Local-Investigative-Specialized-Reporting,the Philadelphia Inquirer,Acel Moore,1977
Local-Investigative-Specialized-Reporting,Chicago Tribune,Staff,1976
Local-Investigative-Specialized-Reporting,Indianapolis Star,Staff,1975
Local-Investigative-Specialized-Reporting,New York Daily News,William Sherman,1974
Local-Investigative-Specialized-Reporting,The Sun Newspapers of Omaha,Staff,1973
Local-Investigative-Specialized-Reporting,The Boston Globe,Ann Desantis,1972
Local-Investigative-Specialized-Reporting,The Boston Globe,Stephen A. Kurkjian,1972
Local-Investigative-Specialized-Reporting,The Boston Globe,Gerard M. O'Neill,1972
Local-Investigative-Specialized-Reporting,The Boston Globe,Timothy Leland,1972
Local-Investigative-Specialized-Reporting,Chicago Tribune,William Jones,1971
Local-Investigative-Specialized-Reporting,Montgomery Advertiser and Alabama Journal,Harold Eugene Martin,1970
Local-Investigative-Specialized-Reporting,St. Louis Globe-Democrat,Denny Walsh,1969
Local-Investigative-Specialized-Reporting,St. Louis Globe-Democrat,Albert L. Delugach,1969
Local-Investigative-Specialized-Reporting,The New York Times,J. Anthony Lukas,1968
Local-Investigative-Specialized-Reporting,Miami Herald,Gene Miller,1967
Local-Investigative-Specialized-Reporting,Tampa (FL) Tribune,John Anthony Frasca,1966
Local-Investigative-Specialized-Reporting,Houston Post,Gene Goltz,1965
Local-Investigative-Specialized-Reporting,The Philadelphia Bulletin,Frederick Meyer,1964
Local-Investigative-Specialized-Reporting,The Philadelphia Bulletin,Albert V. Gaudiosi,1964
Local-Investigative-Specialized-Reporting,The Philadelphia Bulletin,James V. Magee,1964
Local-Reporting,Daily Breeze,Frank Suraci,2015
Local-Reporting,Daily Breeze,Rebecca Kimitch,2015
Local-Reporting,Daily Breeze,Rob Kuznia,2015
Local-Reporting,Tampa Bay Times,Michael LaForgia,2014
Local-Reporting,Tampa Bay Times,Will Hobson,2014
Local-Reporting,Star Tribune,Glenn Howatt,2013
Local-Reporting,Star Tribune,Jeremy Olson,2013
Local-Reporting,Star Tribune,Brad Schrade,2013
Local-Reporting,The Patriot-News ,Staff,2012
Local-Reporting,The Patriot-News ,Sara Ganim,2012
Local-Reporting,Chicago Sun-Times,John J. Kim,2011
Local-Reporting,Chicago Sun-Times,Mark Konkol,2011
Local-Reporting,Chicago Sun-Times,Frank Main,2011
Local-Reporting,Milwaukee Journal Sentinel,Raquel Rutledge,2010
Local-Reporting,Detroit Free Press ,Staff,2009
Local-Reporting,Detroit Free Press ,M.L. Elrick,2009
Local-Reporting,Detroit Free Press ,Jim Schaefer,2009
Local-Reporting,East Valley Tribune,Paul Giblin,2009
Local-Reporting,East Valley Tribune,Ryan Gabrielson,2009
Local-Reporting,Milwaukee Journal Sentinel,David Umhoefer,2008
Local-Reporting,The Miami Herald,Debbie Cenziper,2007
Local-Reporting,San Francisco Chronicle,George De Carvalho,1952
Local-Reporting,San Francisco Examiner,Edward S. Montgomery,1951
Local-Reporting,The New York Times,Meyer Berger,1950
Local-Reporting,New York Sun,Malcolm Johnson,1949
Local-Reporting,The Atlanta Journal-Constitution,George E. Goodwin,1948
Local-Reporting;-Edition-Time,New York World-Telegram and Sun,William Longgood,1963
Local-Reporting;-Edition-Time,New York World-Telegram and Sun,Anthony Shannon,1963
Local-Reporting;-Edition-Time,New York World-Telegram and Sun,Sylvan Fox,1963
Local-Reporting;-Edition-Time,Deseret News,Robert D. Mulllins,1962
Local-Reporting;-Edition-Time,New York Herald Tribune,Sanche De Gramont,1961
Local-Reporting;-Edition-Time,The Atlanta (GA) Constitution,Jack Nelson,1960
Local-Reporting;-Edition-Time,The Evening Star,Miss Mary Lou Werner,1959
Local-Reporting;-Edition-Time,Fargo (ND) Forum,Staff,1958
Local-Reporting;-Edition-Time,Salt Lake (UT) Tribune,Staff,1957
Local-Reporting;-Edition-Time,Detroit Free Press,Lee Hills,1956
Local-Reporting;-Edition-Time,Alice (TX) Daily Echo,Mrs. Caro Brown,1955
Local-Reporting;-Edition-Time,Vicksburg (MS) Sunday Post-Herald,Staff,1954
Local-Reporting;-Edition-Time,Providence (RI) Journal and Evening Bulletin,Editorial Staff,1953
Local-Reporting;-No-Edition-Time,Pecos (TX) Independent and Enterprise,,1963
Local-Reporting;-No-Edition-Time,Pecos (TX) Independent and Enterprise,Oscar Griffin Jr.,1963
Local-Reporting;-No-Edition-Time,Chicago Tribune,George Bliss,1962
Local-Reporting;-No-Edition-Time,Buffalo (NY) Evening News,Edgar May,1961
Local-Reporting;-No-Edition-Time,The Evening Star,Miriam Ottenberg,1960
Local-Reporting;-No-Edition-Time,Scranton (PA) Tribune and Scrantonian,John Harold Brislin,1959
Local-Reporting;-No-Edition-Time,The Evening Star,George Beveridge,1958
Local-Reporting;-No-Edition-Time,Portland Oregonian,William Lamber,1957
Local-Reporting;-No-Edition-Time,Portland Oregonian,Wallace Turner,1957
Local-Reporting;-No-Edition-Time,The New York Times,Arthur Daley,1956
Local-Reporting;-No-Edition-Time,Cuero (TX) Record,Roland Kenneth Towery,1955
Local-Reporting;-No-Edition-Time,Kansas City (MO) Star,Alvin Scott McCoy,1954
Local-Reporting;-No-Edition-Time,New York World-Telegram & Sun,Edward J. Mowery,1953
National-Reporting,The Washington Post,Carol D. Leonnig,2015
National-Reporting,The Gazette,David Philipps,2014
National-Reporting,InsideClimate News,David Hasemyer,2013
National-Reporting,InsideClimate News,Elizabeth McGowan,2013
National-Reporting,InsideClimate News,Lisa Song,2013
National-Reporting,The Huffington Post,David Wood,2012
National-Reporting,ProPublica,Jake Bernstein,2011
National-Reporting,ProPublica,Jesse Eisinger,2011
National-Reporting,The New York Times ,Staff,2010
National-Reporting,The New York Times ,Matt Richtel,2010
National-Reporting,St. Petersburg Times,Staff,2009
National-Reporting,The Washington Post,Barton Gellman,2008
National-Reporting,The Washington Post,Jo Becker,2008
National-Reporting,The Boston Globe,Charlie Savage,2007
National-Reporting,The New York Times,Eric Lichtblau,2006
National-Reporting,The New York Times,James Risen,2006
National-Reporting,The New York Times,Walt Bogdanich,2005
National-Reporting,Los Angeles Times,Staff,2004
National-Reporting,Los Angeles Times,Kevin Sack,2003
National-Reporting,Los Angeles Times,Alan Miller,2003
National-Reporting,The Washington Post,Staff,2002
National-Reporting,The New York Times,Staff,2001
National-Reporting,The Wall Street Journal,Staff,2000
National-Reporting,The New York Times,Staff,1999
National-Reporting,The New York Times,Jeff Gerth,1999
National-Reporting,Dayton Daily News,Jeff Nesmith,1998
National-Reporting,Dayton Daily News,Russell Carollo,1998
National-Reporting,The Wall Street Journal,Staff,1997
National-Reporting,The Wall Street Journal,Alix M. Freedman,1996
National-Reporting,The Wall Street Journal,Tony Horwitz,1995
National-Reporting,Albuquerque Tribune,Eileen Welsome,1994
National-Reporting,The Washington Post,David Maraniss,1993
National-Reporting,Kansas City Star,Mike McGraw,1992
National-Reporting,Kansas City Star,Jeff Taylor,1992
National-Reporting,Gannett News Service,Rochelle Sharpe,1991
National-Reporting,Gannett News Service,Marjie Lundstrom,1991
National-Reporting,The Seattle Times,Eric Nalder,1990
National-Reporting,The Seattle Times,Mary Ann Gwinn,1990
National-Reporting,The Seattle Times,Bill Dietrich,1990
National-Reporting,The Seattle Times,Ross Anderson,1990
National-Reporting,The Philadelphia Inquirer,James B. Steele,1989
National-Reporting,The Philadelphia Inquirer,Donald L. Barlett,1989
National-Reporting,The Philadelphia Inquirer,Tim Weiner,1988
National-Reporting,Miami Herald,Staff,1987
National-Reporting,The New York Times,Staff,1987
National-Reporting,The Dallas Morning News,George Rodrigue,1986
National-Reporting,The Dallas Morning News,Craig Flournoy,1986
National-Reporting,The Philadelphia Inquirer,Arthur Howe,1986
National-Reporting,Des Moines Register,Thomas J. Knudson,1985
National-Reporting,The New York Times,John Noble Wilford,1984
National-Reporting,The Boston Globe,Staff,1983
National-Reporting,The Kansas City Times,Rick Atkinson,1982
National-Reporting,The New York Times,John M. Crewdson,1981
National-Reporting,St. Petersburg (FL) Times,Charles Stafford,1980
National-Reporting,St. Petersburg (FL) Times,Bette Swenson Orsini,1980
National-Reporting,Des Moines Register,James Risser,1979
National-Reporting,Los Angeles Times,Gaylord D. Shaw,1978
National-Reporting,Associated Press,Walter Mears,1977
National-Reporting,Des Moines Register,James Risser,1976
National-Reporting,The Philadelphia Inquirer,James B. Steele,1975
National-Reporting,The Philadelphia Inquirer,Donald L. Barlett,1975
National-Reporting,Providence Journal and Evening Bulletin,Jack White,1974
National-Reporting,Washington Star-News,James R. Polk,1974
National-Reporting,Knight Newspapers,Clark Hoyt,1973
National-Reporting,Knight Newspapers,Robert Boyd,1973
National-Reporting,a syndicated columnist,Jack Anderson,1972
National-Reporting,United Press International,Thomas Powers,1971
National-Reporting,United Press International,Lucinda Franks,1971
National-Reporting,Chicago Daily News,William J. Eaton,1970
National-Reporting,The Christian Science Monitor,Robert Cahn,1969
National-Reporting,Des Moines Register and Minneapolis Tribune,Nathan K. (Nick) Kotz,1968
National-Reporting,The Christian Science Monitor,Howard James,1968
National-Reporting,The Wall Street Journal,Monroe Karmin,1967
National-Reporting,The Wall Street Journal,Stanley Penn,1967
National-Reporting,Washington Evening Star,Haynes Johnson,1966
National-Reporting,The Wall Street Journal,Louis M. Kohlmeier,1965
National-Reporting,United Press International,Merriman Smith,1964
National-Reporting,The New York Times,Anthony Lewis,1963
National-Reporting,Nashville Tennessean,Gene S. Graham,1962
National-Reporting,Nashville Tennessean,Nathan G. Caldwell,1962
National-Reporting,The Wall Street Journal,Edward R. Cony,1961
National-Reporting,Scripps-Howard Newspaper Alliance,Vance Trimble,1960
National-Reporting,The Miami (FL) News,Howard Van Smith,1959
National-Reporting,Des Moines Register and Tribune,Clark Mollenhoff,1958
National-Reporting,Associated Press,Relman Morin,1958
National-Reporting,The New York Times,James Reston,1957
National-Reporting,Chattanooga Times,Charles L. Bartlett,1956
National-Reporting,Washington Daily News,Anthony Lewis,1955
National-Reporting,Des Moines Register & Tribune,Richard Wilson,1954
National-Reporting,Associated Press,Don Whitehead,1953
National-Reporting,The New York Times,Anthony Leviero,1952
National-Reporting,No Award,No Award,1951
National-Reporting,The Seattle Times,Edwin O. Guthman,1950
National-Reporting,The New York Times,C. P. Trussell,1949
National-Reporting,Minneapolis Tribune,Nat S. Finney,1948
National-Reporting,New York Herald Tribune,Bert Andrews,1948
Newspaper-History-Award,American Press,Henry Beetle Hough,1918
Newspaper-History-Award,American Press,Minna Lewinson,1918
Photography,Associated Press,Jack R. Thornell,1967
Photography,United Press International,Kyoichi Sawada,1966
Photography,Associated Press,Horst Faas,1965
Photography,Dallas Times-Herald,Robert H. Jackson,1964
Photography,La Republica,Hector Rondon,1963
Photography,Associated Press,Paul Vathis,1962
Photography,Mainichi,Yasushi Nagao,1961
Photography,United Press International,Andrew Lopez,1960
Photography,Minneapolis Star,William Seaman,1959
Photography,Washington (DC) Daily News,William C. Beall,1958
Photography,Boston Traveler,Harry A. Trask,1957
Photography,New York Daily News,Staff,1956
Photography,Los Angeles Times,John L. Gaunt,1955
Photography,The Akron (OH) Beacon Journal and other newspapers and nationally distributed by the AP,Walter M. Schau,1954
Photography,Flint (MI) Journal,William M. Gallagher,1953
Photography,Des Moines Register and Tribune,Don Ultang,1952
Photography,Des Moines Register and Tribune,John Robinson,1952
Photography,Associated Press,Max Desfor,1951
Photography,Oakland (CA) Tribune,Bill Crouch,1950
Photography,New York Herald-Tribune,Nathaniel Fein,1949
Photography,Boston Traveler,Frank Cushing,1948
Photography,Associated Press,Arnold Hardy,1947
Photography,No Award,No Award,1946
Photography,Associated Press,Joe Rosenthal,1945
Photography,The World-Herald,Earle L. Bunker,1944
Photography,Associated Press,Frank Filan,1944
Photography,Associated Press,Frank Noel,1943
Photography,The Detroit News,Milton Brooks,1942
Public-Service,The Post and Courier,The Post and Courier,2015
Public-Service,The Guardian US,The Guardian US,2014
Public-Service,The Washington Post,The Washington Post,2014
Public-Service,Sun Sentinel,Sun Sentinel,2013
Public-Service,The Philadelphia Inquirer,The Philadelphia Inquirer,2012
Public-Service,Los Angeles Times,Los Angeles Times,2011
Public-Service,Bristol (VA) Herald Courier,Bristol (VA) Herald Courier,2010
Public-Service,Las Vegas Sun,Alexandra Berzon,2009
Public-Service,The Washington Post,The Washington Post,2008
Public-Service,The Wall Street Journal,The Wall Street Journal,2007
Public-Service,The Times-Picayune,The Times-Picayune,2006
Public-Service,Sun Herald,Sun Herald,2006
Public-Service,Los Angeles Times,Los Angeles Times,2005
Public-Service,The New York Times ,Lowell Bergman,2004
Public-Service,The New York Times ,David Barstow,2004
Public-Service,The Boston Globe,The Boston Globe,2003
